epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.9047,2.88448,4.04038,3.94193,0.00284,0.83607,0.02159,0.00455,2.71106,3.69486,3.99811,0.000329114,0.000329114,0.000329114
2,98.9299,1.94971,3.25086,2.71093,0.23008,0.102,0.05757,0.02171,1.94372,3.22229,3.10971,0.000629656,0.000629656,0.000629656
3,141.882,1.3903,2.48838,2.02146,0.4137,0.46534,0.26085,0.17066,1.64501,2.37312,2.56578,0.000897198,0.000897198,0.000897198
4,184.543,1.17612,2.03927,1.763,0.37897,0.50333,0.3084,0.18804,1.43023,1.9814,2.13636,0.0008515,0.0008515,0.0008515
5,224.281,1.03968,1.78016,1.62618,0.49305,0.55721,0.39879,0.31652,0.90883,1.52438,1.43649,0.000802,0.000802,0.000802
6,263.846,0.951,1.62582,1.53902,0.42883,0.60523,0.40348,0.31587,0.85417,1.62888,1.36105,0.0007525,0.0007525,0.0007525
7,303.462,0.89558,1.50515,1.481,0.58294,0.54424,0.5069,0.40753,0.80753,1.32757,1.30957,0.000703,0.000703,0.000703
8,343.097,0.85352,1.41562,1.45038,0.65626,0.57392,0.61224,0.49218,0.78449,1.22485,1.28924,0.0006535,0.0006535,0.0006535
9,403.477,0.81721,1.3502,1.41585,0.70361,0.60915,0.60886,0.50206,0.73301,1.22067,1.22063,0.000604,0.000604,0.000604
10,504.203,0.78302,1.25993,1.38731,0.72472,0.60969,0.67142,0.54956,0.72951,1.10856,1.24568,0.0005545,0.0005545,0.0005545
11,635.575,0.66302,1.0394,1.40285,0.66613,0.6096,0.61838,0.51664,0.6812,1.35183,1.15403,0.000505,0.000505,0.000505
12,725.581,0.62616,0.91727,1.36044,0.74232,0.65417,0.70878,0.58762,0.71474,1.02454,1.19405,0.0004555,0.0004555,0.0004555
13,814.039,0.603,0.8581,1.33867,0.77694,0.5648,0.70559,0.60703,0.61183,1.14142,1.07752,0.000406,0.000406,0.000406
14,901.81,0.56651,0.81353,1.30349,0.77593,0.63404,0.76125,0.66074,0.5691,0.88621,1.04694,0.0003565,0.0003565,0.0003565
15,992.608,0.55727,0.76899,1.29355,0.79585,0.6616,0.7795,0.67207,0.5663,0.85332,1.04753,0.000307,0.000307,0.000307
16,1081.85,0.53647,0.73655,1.26756,0.82387,0.65458,0.78208,0.68044,0.54421,0.83379,1.01605,0.0002575,0.0002575,0.0002575
17,1174.83,0.52325,0.68772,1.25743,0.64603,0.78098,0.78106,0.68619,0.53096,0.84727,1.00714,0.000208,0.000208,0.000208
18,1263.75,0.51487,0.66065,1.2483,0.60584,0.81828,0.80171,0.71236,0.52252,0.80581,0.99306,0.0001585,0.0001585,0.0001585
19,1352.19,0.48814,0.62571,1.23294,0.66244,0.77625,0.79328,0.69804,0.54022,0.74727,0.99598,0.000109,0.000109,0.000109
20,1448.96,0.47234,0.60583,1.21841,0.6849,0.79582,0.80873,0.72163,0.50521,0.71403,0.97054,5.95e-05,5.95e-05,5.95e-05
